subject,professor,lecture_type,time,room
(KNU10)4차산업혁명과수학,외부교원1,원격강좌(콘텐츠),:  ,"금 10-A,금 10-B,금 11-A,금 11-B,토 10-A,토 10-B"
(KNU10)강원문화사,외부교원1,원격강좌(콘텐츠),:  ,"목 1-A,목 1-B,목 2-A,목 2-B,토 2-A,토 2-B"
(KNU10)고사와성어의탐구,외부교원3,원격강좌(콘텐츠),:  ,"금 3-A,금 3-B,토 4-A,토 4-B"
(KNU10)과학과문화,외부교원3,원격강좌(콘텐츠),:  ,"금 0-B,금 1-A,금 1-B,금 2-A,금 2-B,토 3-A"
(KNU10)다문화사회의이해,외부교원2,원격강좌(콘텐츠),:  ,"목 0-B,목 1-A,목 1-B,목 2-A,목 2-B,토 2-A"
(KNU10)디지털시대의영상과문화,외부교원1,원격강좌(콘텐츠),:  ,"금 4-A,금 4-B,금 5-A,금 5-B,토 5-A,토 5-B"
(KNU10)로마문화와함께배우는교양라틴어,외부교원1,원격강좌(콘텐츠),:  ,"목 7-A,목 7-B,목 8-A,목 8-B,토 11-A,토 11-B"
(KNU10)무역실무,외부교원1,원격강좌(콘텐츠),:  ,"금 8-A,금 8-B,금 9-A,금 9-B,토 9-A,토 9-B"
(KNU10)미디어위키를활용한역사데이터편찬,외부교원1,원격강좌(콘텐츠),:  ,"월 6-A,월 6-B"
(KNU10)바이오섬유소재화학,외부교원3,원격강좌(콘텐츠),:  ,"목 3-A,목 3-B,목 4-A,목 4-B,목 5-A,토 3-B"
(KNU10)분쟁의세계지리,외부교원2,원격강좌(콘텐츠),:  ,"금 6-A,금 6-B,금 7-A,금 7-B,토 7-A,토 7-B"
(KNU10)불교가묻고내가답한다,외부교원2,원격강좌(콘텐츠),:  ,"목 10-A,목 10-B,목 11-A,목 11-B,토 11-A,토 11-B"
(KNU10)비유와우화로보는철학산책,외부교원3,원격강좌(콘텐츠),:  ,"목 9-A,목 9-B,목 10-A,목 10-B,목 11-A,토 11-A"
(KNU10)빅데이터로읽는한국근대사 1,외부교원1,원격강좌(콘텐츠),:  ,"수 2-A,수 2-B"
(KNU10)산업경영의이해,외부교원2,원격강좌(콘텐츠),:  ,"금 4-A,금 4-B,토 4-A,토 4-B"
(KNU10)생명의파노라마,외부교원3,원격강좌(콘텐츠),:  ,"금 9-A,금 9-B,금 10-A,금 10-B,금 11-A,토 11-B"
(KNU10)소비문화(4차산업혁명속일상으로의소비),외부교원3,원격강좌(콘텐츠),:  ,"수 1-B,수 2-A,수 2-B,목 2-A,목 2-B,토 2-B"
(KNU10)수목보호학,외부교원2,원격강좌(콘텐츠),:  ,"목 3-A,목 3-B,목 4-A,목 4-B,토 3-A,토 3-B"
(KNU10)심리학START,외부교원2,원격강좌(콘텐츠),:  ,"금 9-A,금 9-B,금 10-A,금 10-B,토 10-A,토 10-B"
(KNU10)심리학의이해,외부교원1,원격강좌(콘텐츠),:  ,"금 2-A,금 2-B,금 3-A,금 3-B,토 3-A,토 3-B"
(KNU10)알기쉬운기업살림살이,외부교원2,원격강좌(콘텐츠),:  ,"금 11-A,금 11-B,금 12-A,금 12-B,토 12-A,토 12-B"
(KNU10)에듀테크의이해,외부교원3,원격강좌(콘텐츠),:  ,"금 5-A,금 5-B,금 6-A,금 6-B,토 7-A,토 7-B"
(KNU10)여행과문화,외부교원3,원격강좌(콘텐츠),:  ,"화 1-A,화 1-B,수 1-A,목 1-A,목 1-B,토 2-A"
(빈칸),(빈칸),(빈칸),(빈칸),(빈칸)
(KNU10)음성데이터의특성과처리1:기초음성학과음향분석,외부교원1,원격강좌(콘텐츠),:  ,"목 9-A,목 9-B,목 10-A,목 10-B,목 11-A,목 11-B"
(KNU10)창업의이해,외부교원2,원격강좌(콘텐츠),:  ,"목 9-A,목 9-B,토 9-A,토 9-B"
(KNU10)컴퓨팅사고력(일반),외부교원2,원격강좌(콘텐츠),:  ,"수 1-A,수 1-B,수 2-A,수 2-B,수 3-A,토 2-B"
(KNU10)트랜스미디어스토리텔링,외부교원3,원격강좌(콘텐츠),:  ,"목 7-A,목 7-B,목 8-A,목 8-B,토 10-A,토 10-B"
(KNU10)평화사상과통일의길,외부교원1,원격강좌(콘텐츠),:  ,"목 4-A,목 4-B,토 4-A,토 4-B"
(KNU10)한국지형여행,외부교원3,원격강좌(콘텐츠),:  ,"금 11-B,금 12-A,금 12-B,금 13-A,금 13-B,토 12-B"
(KNU10)혁신을위한모순해결,외부교원3,원격강좌(콘텐츠),:  ,"목 5-B,목 6-A,목 6-B,토 9-A"
(KNU10)환경문제와윤리,외부교원3,원격강좌(콘텐츠),:  ,"금 7-B,금 8-A,금 8-B,토 9-B"
(전북권역)AI디지털시대의학습·연구윤리,외부교원1,원격강좌(콘텐츠),:  ,"월 10-A,월 10-B"
(전북권역)계통해부학,외부교원2,원격강좌(콘텐츠),:  ,"수 11-A,수 11-B,수 12-A,수 12-B,수 13-A,수 13-B"
(전북권역)공기업채용과NCS,전용일,원격강좌(콘텐츠),:  ,"목 5-A,목 5-B,목 6-A,목 6-B,목 7-A,목 7-B"
(전북권역)공기정화반려식물,외부교원2,원격강좌(콘텐츠),:  ,"수 9-A,수 9-B,수 10-A,수 10-B"
(전북권역)교양기초영어,외부교원3,원격강좌(콘텐츠),:  ,"수 11-A,수 11-B,수 12-A,수 12-B"
(전북권역)능력검정한국사따라가기,김병남,원격강좌(콘텐츠),:  ,"화 10-A,화 10-B,화 11-A,화 11-B,화 12-A,화 12-B"
(전북권역)마음면역코칭,외부교원2,원격강좌(콘텐츠),:  ,"월 9-A,월 9-B,월 10-A,월 10-B"
(전북권역)문화로듣는실용음악,외부교원3,원격강좌(콘텐츠),:  ,"수 9-A,수 9-B,수 10-A,수 10-B"
(전북권역)미디어와스토리텔링,외부교원2,원격강좌(콘텐츠),:  ,"화 8-A,화 8-B,화 9-A,화 9-B,화 10-A,화 10-B"
(전북권역)반도체장비입문,외부교원1,원격강좌(콘텐츠),:  ,"화 10-A,화 10-B,수 9-A,수 9-B,수 10-A,수 10-B"
(전북권역)보육학개론,외부교원2,원격강좌(콘텐츠),:  ,"월 11-A,월 11-B,월 12-A,월 12-B,월 13-A,월 13-B"
(전북권역)생활응급처치와심폐소생술,외부교원2,원격강좌(콘텐츠),:  ,"화 11-A,화 11-B,화 12-A,화 12-B,화 13-A,화 13-B"
(전북권역)서양고대철학,김요한,원격강좌(콘텐츠),:  ,"월 10-A,월 10-B,월 11-A,월 11-B,월 12-A,월 12-B"
(전북권역)서양고대철학,김요한,원격강좌(콘텐츠),:  ,"토 1-A,토 1-B,토 2-A,토 2-B,토 3-A,토 3-B"
